iteration,train_stations,test_stations,num_train_samples,num_val_samples,evaluation_results,uncertainty_scores,most_uncertain
0,['ARO3'],"dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'GLA2', 'GUT2', 'ILI2', 'KLO2', 'KLO3', 'LAG3', 'RNZ2', 'SHE2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'TUM2', 'WFJ2'])",7706,1927,"[0.27029722929000854, 0.9041432738304138]","{'AMD2': 0.7635944, 'BOR2': 0.74956375, 'FLU2': 0.7514584, 'FNH2': 0.7380923, 'FOU2': 0.67215407, 'GLA2': 0.7702513, 'GUT2': 0.7746597, 'ILI2': 0.7433944, 'KLO2': 0.76878583, 'KLO3': 0.7572734, 'LAG3': 0.7673638, 'RNZ2': 0.7437684, 'SHE2': 0.7702731, 'SLF2': 0.6346778, 'SPN2': 0.7144787, 'STN2': 0.72231084, 'TRU2': 0.7595154, 'TUM2': 0.7847696, 'WFJ2': 0.73470676}",TUM2
1,"['ARO3', 'TUM2']","dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'GLA2', 'GUT2', 'ILI2', 'KLO2', 'KLO3', 'LAG3', 'RNZ2', 'SHE2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'WFJ2'])",13612,3404,"[0.3013691306114197, 0.9182350039482117]","{'AMD2': 0.7576285, 'BOR2': 0.7626356, 'FLU2': 0.7498083, 'FNH2': 0.7553819, 'FOU2': 0.6872131, 'GLA2': 0.78647065, 'GUT2': 0.7854871, 'ILI2': 0.76095676, 'KLO2': 0.77847016, 'KLO3': 0.7681986, 'LAG3': 0.78971606, 'RNZ2': 0.74736917, 'SHE2': 0.77338845, 'SLF2': 0.568313, 'SPN2': 0.7013672, 'STN2': 0.7373666, 'TRU2': 0.766031, 'WFJ2': 0.73108125}",LAG3
2,"['ARO3', 'TUM2', 'LAG3']","dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'GLA2', 'GUT2', 'ILI2', 'KLO2', 'KLO3', 'RNZ2', 'SHE2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'WFJ2'])",17476,4370,"[0.21465153992176056, 0.9274812936782837]","{'AMD2': 0.7658038, 'BOR2': 0.7862049, 'FLU2': 0.75656044, 'FNH2': 0.78174096, 'FOU2': 0.7378524, 'GLA2': 0.81036377, 'GUT2': 0.79361206, 'ILI2': 0.79580134, 'KLO2': 0.7864919, 'KLO3': 0.77705574, 'RNZ2': 0.75945055, 'SHE2': 0.7772489, 'SLF2': 0.700848, 'SPN2': 0.7410691, 'STN2': 0.7574253, 'TRU2': 0.7887858, 'WFJ2': 0.7388722}",GLA2
3,"['ARO3', 'TUM2', 'LAG3', 'GLA2']","dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'GUT2', 'ILI2', 'KLO2', 'KLO3', 'RNZ2', 'SHE2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'WFJ2'])",23981,5996,"[0.23795288801193237, 0.9292603135108948]","{'AMD2': 0.7647249, 'BOR2': 0.7838323, 'FLU2': 0.76189935, 'FNH2': 0.7840279, 'FOU2': 0.7574876, 'GUT2': 0.7869708, 'ILI2': 0.82161814, 'KLO2': 0.7874511, 'KLO3': 0.7786983, 'RNZ2': 0.7519852, 'SHE2': 0.7847503, 'SLF2': 0.7789113, 'SPN2': 0.76967233, 'STN2': 0.7461755, 'TRU2': 0.7885536, 'WFJ2': 0.72360855}",ILI2
4,"['ARO3', 'TUM2', 'LAG3', 'GLA2', 'ILI2']","dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'GUT2', 'KLO2', 'KLO3', 'RNZ2', 'SHE2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'WFJ2'])",30672,7669,"[0.2339489609003067, 0.9265449643135071]","{'AMD2': 0.790437, 'BOR2': 0.79521614, 'FLU2': 0.7800152, 'FNH2': 0.79093593, 'FOU2': 0.7668388, 'GUT2': 0.79961354, 'KLO2': 0.79749775, 'KLO3': 0.78823406, 'RNZ2': 0.76008093, 'SHE2': 0.80203193, 'SLF2': 0.7876469, 'SPN2': 0.7940816, 'STN2': 0.75028104, 'TRU2': 0.7960306, 'WFJ2': 0.7413735}",SHE2
5,"['ARO3', 'TUM2', 'LAG3', 'GLA2', 'ILI2', 'SHE2']","dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'GUT2', 'KLO2', 'KLO3', 'RNZ2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'WFJ2'])",36900,9226,"[0.26433971524238586, 0.930898904800415]","{'AMD2': 0.7947945, 'BOR2': 0.81485605, 'FLU2': 0.7882771, 'FNH2': 0.81391203, 'FOU2': 0.7904242, 'GUT2': 0.81303096, 'KLO2': 0.8102669, 'KLO3': 0.8079533, 'RNZ2': 0.77984715, 'SLF2': 0.7953792, 'SPN2': 0.80309844, 'STN2': 0.7743792, 'TRU2': 0.8173873, 'WFJ2': 0.7664787}",TRU2
6,"['ARO3', 'TUM2', 'LAG3', 'GLA2', 'ILI2', 'SHE2', 'TRU2']","dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'GUT2', 'KLO2', 'KLO3', 'RNZ2', 'SLF2', 'SPN2', 'STN2', 'WFJ2'])",44578,11145,"[0.24937129020690918, 0.9366573095321655]","{'AMD2': 0.8063222, 'BOR2': 0.807924, 'FLU2': 0.78895146, 'FNH2': 0.8005366, 'FOU2': 0.76756704, 'GUT2': 0.8110675, 'KLO2': 0.8106166, 'KLO3': 0.7985102, 'RNZ2': 0.7760586, 'SLF2': 0.75432503, 'SPN2': 0.80312926, 'STN2': 0.76514775, 'WFJ2': 0.73557436}",GUT2
7,"['ARO3', 'TUM2', 'LAG3', 'GLA2', 'ILI2', 'SHE2', 'TRU2', 'GUT2']","dict_keys(['AMD2', 'BOR2', 'FLU2', 'FNH2', 'FOU2', 'KLO2', 'KLO3', 'RNZ2', 'SLF2', 'SPN2', 'STN2', 'WFJ2'])",51380,12845,"[0.26938655972480774, 0.9351123571395874]","{'AMD2': 0.8191018, 'BOR2': 0.81777656, 'FLU2': 0.79460865, 'FNH2': 0.8166997, 'FOU2': 0.7819922, 'KLO2': 0.8165769, 'KLO3': 0.8099999, 'RNZ2': 0.78620523, 'SLF2': 0.7789125, 'SPN2': 0.7916262, 'STN2': 0.7829683, 'WFJ2': 0.7539857}",AMD2
8,"['ARO3', 'TUM2', 'LAG3', 'GLA2', 'ILI2', 'SHE2', 'TRU2', 'GUT2', 'AMD2']","dict_keys(['BOR2', 'FLU2', 'FNH2', 'FOU2', 'KLO2', 'KLO3', 'RNZ2', 'SLF2', 'SPN2', 'STN2', 'WFJ2'])",58783,14696,"[0.24953436851501465, 0.9346442222595215]","{'BOR2': 0.8173839, 'FLU2': 0.79072285, 'FNH2': 0.81979746, 'FOU2': 0.79986393, 'KLO2': 0.82455754, 'KLO3': 0.8165742, 'RNZ2': 0.7811094, 'SLF2': 0.77737236, 'SPN2': 0.7809089, 'STN2': 0.7845497, 'WFJ2': 0.76339334}",KLO2
9,"['ARO3', 'TUM2', 'LAG3', 'GLA2', 'ILI2', 'SHE2', 'TRU2', 'GUT2', 'AMD2', 'KLO2']","dict_keys(['BOR2', 'FLU2', 'FNH2', 'FOU2', 'KLO3', 'RNZ2', 'SLF2', 'SPN2', 'STN2', 'WFJ2'])",66463,16616,"[0.29865506291389465, 0.9381086230278015]","{'BOR2': 0.8258632, 'FLU2': 0.7947836, 'FNH2': 0.8263842, 'FOU2': 0.79846597, 'KLO3': 0.82382333, 'RNZ2': 0.7793012, 'SLF2': 0.7700636, 'SPN2': 0.7796617, 'STN2': 0.7987775, 'WFJ2': 0.7675838}",FNH2
