iteration,active_learning_train,active_learning_predict,evaluation_results,uncertainty_scores,most_uncertain
0,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['AMD2', 'LAG3', 'GUT2', 'KLO2', 'SHE2', 'ARO3', 'BOR2', 'SLF2', 'FLU2', 'GLA2', 'KLO3', 'RNZ2', 'ILI2', 'FOU2'])",[0.38927398 0.90595969],"{'AMD2': 0.03657974, 'LAG3': 0.032119367, 'GUT2': 0.03885697, 'KLO2': 0.029089134, 'SHE2': 0.06866083, 'ARO3': 0.039716788, 'BOR2': 0.029530277, 'SLF2': 0.041678082, 'FLU2': 0.051806733, 'GLA2': 0.035468474, 'KLO3': 0.035973627, 'RNZ2': 0.055415887, 'ILI2': 0.034110367, 'FOU2': 0.031124532}",SHE2
1,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['AMD2', 'LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'SLF2', 'FLU2', 'GLA2', 'KLO3', 'RNZ2', 'ILI2', 'FOU2'])",[0.30791515 0.92038373],"{'AMD2': 0.043901205, 'LAG3': 0.048260737, 'GUT2': 0.051758636, 'KLO2': 0.035063982, 'ARO3': 0.047380254, 'BOR2': 0.038696993, 'SLF2': 0.057861745, 'FLU2': 0.05516253, 'GLA2': 0.039967086, 'KLO3': 0.03766185, 'RNZ2': 0.046372984, 'ILI2': 0.039606903, 'FOU2': 0.04520522}",SLF2
2,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['AMD2', 'LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'FLU2', 'GLA2', 'KLO3', 'RNZ2', 'ILI2', 'FOU2'])",[0.25917351 0.92266093],"{'AMD2': 0.039993737, 'LAG3': 0.04045965, 'GUT2': 0.036729258, 'KLO2': 0.03704548, 'ARO3': 0.037688296, 'BOR2': 0.033316765, 'FLU2': 0.0453516, 'GLA2': 0.07253303, 'KLO3': 0.036484305, 'RNZ2': 0.03135528, 'ILI2': 0.061575193, 'FOU2': 0.045825265}",GLA2
3,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['AMD2', 'LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'FLU2', 'KLO3', 'RNZ2', 'ILI2', 'FOU2'])",[0.2610265  0.92214433],"{'AMD2': 0.037187763, 'LAG3': 0.028343992, 'GUT2': 0.032675724, 'KLO2': 0.035219897, 'ARO3': 0.033184104, 'BOR2': 0.040263373, 'FLU2': 0.035223074, 'KLO3': 0.023481509, 'RNZ2': 0.033535026, 'ILI2': 0.04930839, 'FOU2': 0.050120488}",FOU2
4,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['AMD2', 'LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'FLU2', 'KLO3', 'RNZ2', 'ILI2'])",[0.20777246 0.92970212],"{'AMD2': 0.056124154, 'LAG3': 0.04357039, 'GUT2': 0.04869372, 'KLO2': 0.045787275, 'ARO3': 0.03996632, 'BOR2': 0.047633395, 'FLU2': 0.043605063, 'KLO3': 0.047319554, 'RNZ2': 0.050402626, 'ILI2': 0.049835466}",AMD2
5,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'FLU2', 'KLO3', 'RNZ2', 'ILI2'])",[0.22236002 0.93079761],"{'LAG3': 0.033621546, 'GUT2': 0.030852908, 'KLO2': 0.03729551, 'ARO3': 0.03951291, 'BOR2': 0.024762673, 'FLU2': 0.03800266, 'KLO3': 0.027314128, 'RNZ2': 0.03362493, 'ILI2': 0.052355774}",ILI2
6,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'FLU2', 'KLO3', 'RNZ2'])",[0.27716417 0.92645776],"{'LAG3': 0.031046402, 'GUT2': 0.036002103, 'KLO2': 0.03989473, 'ARO3': 0.035001434, 'BOR2': 0.028198412, 'FLU2': 0.04763153, 'KLO3': 0.032828026, 'RNZ2': 0.037756998}",FLU2
7,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'KLO3', 'RNZ2'])",[0.26900571 0.92493613],"{'LAG3': 0.03470849, 'GUT2': 0.045135655, 'KLO2': 0.035477683, 'ARO3': 0.037049614, 'BOR2': 0.03890108, 'KLO3': 0.033808406, 'RNZ2': 0.052092813}",RNZ2
8,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['LAG3', 'GUT2', 'KLO2', 'ARO3', 'BOR2', 'KLO3'])",[0.30305743 0.9275481 ],"{'LAG3': 0.03312281, 'GUT2': 0.03271924, 'KLO2': 0.031480074, 'ARO3': 0.03543046, 'BOR2': 0.031211648, 'KLO3': 0.031716157}",ARO3
9,"['FNH2', 'SHE2', 'SLF2', 'GLA2', 'FOU2', 'AMD2', 'ILI2', 'FLU2', 'RNZ2', 'ARO3', 'GUT2', 'LAG3', 'KLO2', 'KLO3', 'BOR2']","dict_keys(['LAG3', 'GUT2', 'KLO2', 'BOR2', 'KLO3'])",[0.29885648 0.92920443],"{'LAG3': 0.03576984, 'GUT2': 0.041333262, 'KLO2': 0.03172419, 'BOR2': 0.02905199, 'KLO3': 0.027602421}",GUT2
